channel_name,image_file,detected_object_class,confidence_score
CheMed123,11.jpg,clock,0.427
CheMed123,13.jpg,hot dog,0.504
CheMed123,13.jpg,donut,0.399
CheMed123,13.jpg,hot dog,0.31
CheMed123,13.jpg,donut,0.297
CheMed123,13.jpg,hot dog,0.264
CheMed123,13.jpg,hot dog,0.25
CheMed123,17.jpg,bottle,0.526
CheMed123,17.jpg,bottle,0.495
CheMed123,17.jpg,bottle,0.432
CheMed123,17.jpg,bottle,0.387
CheMed123,17.jpg,bottle,0.385
CheMed123,17.jpg,bottle,0.38
CheMed123,17.jpg,bottle,0.375
CheMed123,17.jpg,bottle,0.326
CheMed123,17.jpg,bottle,0.285
CheMed123,17.jpg,bottle,0.279
CheMed123,17.jpg,bottle,0.272
CheMed123,19.jpg,person,0.94
CheMed123,19.jpg,person,0.928
CheMed123,19.jpg,dining table,0.362
CheMed123,19.jpg,dining table,0.322
CheMed123,2.jpg,bottle,0.387
CheMed123,20.jpg,person,0.94
CheMed123,20.jpg,person,0.928
CheMed123,20.jpg,dining table,0.362
CheMed123,20.jpg,dining table,0.322
CheMed123,21.jpg,bird,0.253
CheMed123,22.jpg,stop sign,0.278
CheMed123,23.jpg,cell phone,0.611
CheMed123,25.jpg,cell phone,0.861
CheMed123,25.jpg,person,0.628
CheMed123,26.jpg,person,0.828
CheMed123,26.jpg,cup,0.427
CheMed123,26.jpg,book,0.318
CheMed123,26.jpg,book,0.313
CheMed123,29.jpg,person,0.619
CheMed123,29.jpg,surfboard,0.594
CheMed123,29.jpg,person,0.528
CheMed123,29.jpg,person,0.278
CheMed123,30.jpg,person,0.414
CheMed123,31.jpg,bottle,0.513
CheMed123,31.jpg,bottle,0.497
CheMed123,31.jpg,bottle,0.435
CheMed123,31.jpg,bottle,0.388
CheMed123,31.jpg,bottle,0.388
CheMed123,31.jpg,bottle,0.383
CheMed123,31.jpg,bottle,0.377
CheMed123,31.jpg,bottle,0.333
CheMed123,31.jpg,bottle,0.279
CheMed123,31.jpg,bottle,0.276
CheMed123,31.jpg,bottle,0.274
CheMed123,32.jpg,person,0.588
CheMed123,33.jpg,orange,0.671
CheMed123,33.jpg,orange,0.576
CheMed123,33.jpg,book,0.272
CheMed123,39.jpg,mouse,0.911
CheMed123,39.jpg,mouse,0.902
CheMed123,39.jpg,mouse,0.893
CheMed123,39.jpg,mouse,0.624
CheMed123,39.jpg,mouse,0.594
CheMed123,39.jpg,mouse,0.555
CheMed123,39.jpg,mouse,0.526
CheMed123,39.jpg,mouse,0.414
CheMed123,40.jpg,person,0.719
CheMed123,40.jpg,person,0.674
CheMed123,40.jpg,person,0.634
CheMed123,40.jpg,person,0.598
CheMed123,40.jpg,person,0.587
CheMed123,40.jpg,person,0.513
CheMed123,40.jpg,person,0.452
CheMed123,40.jpg,person,0.437
CheMed123,40.jpg,person,0.332
CheMed123,40.jpg,person,0.331
CheMed123,41.jpg,person,0.421
CheMed123,43.jpg,person,0.856
CheMed123,43.jpg,chair,0.294
CheMed123,44.jpg,cell phone,0.939
CheMed123,44.jpg,person,0.848
CheMed123,45.jpg,scissors,0.632
CheMed123,46.jpg,person,0.827
CheMed123,46.jpg,person,0.475
CheMed123,46.jpg,tv,0.389
CheMed123,49.jpg,kite,0.68
CheMed123,49.jpg,kite,0.403
CheMed123,49.jpg,kite,0.345
CheMed123,49.jpg,frisbee,0.325
CheMed123,50.jpg,cake,0.292
CheMed123,52.jpg,person,0.704
CheMed123,52.jpg,person,0.646
CheMed123,52.jpg,horse,0.625
CheMed123,52.jpg,person,0.513
CheMed123,52.jpg,person,0.431
CheMed123,52.jpg,person,0.335
CheMed123,53.jpg,person,0.574
CheMed123,55.jpg,stop sign,0.307
CheMed123,56.jpg,person,0.833
CheMed123,58.jpg,bottle,0.412
CheMed123,59.jpg,bottle,0.287
CheMed123,64.jpg,person,0.686
CheMed123,64.jpg,person,0.44
CheMed123,64.jpg,banana,0.281
CheMed123,64.jpg,remote,0.256
CheMed123,67.jpg,stop sign,0.579
CheMed123,67.jpg,book,0.284
CheMed123,70.jpg,potted plant,0.925
CheMed123,70.jpg,person,0.844
